service,description,link
Cognos: Reporting Assistance Requests,"Reporting assistance is available to help refine and compose reports in Cognos. CIS also accepts reporting requests by providing the output of requested reports, and publishing them so that they can be run in the future, or scheduled and output to emails. Some reporting requests require collaboration with other departments. Available to faculty, staff, and emeritus at HMC. Please contact the Help Desk at helpdesk@hmc.edu for reporting assistance requests.",https://www.hmc.edu/cis/services/cognos-reporting-assistance-requests/
Cognos: Maintenance and Publishing of Metadata,"Cognos is a reporting tool that can connect to many databases, but it is primarily used to report from CX, a Student Information System. Data is divided into packages and models for different departments, and these are published for users to use for reporting based on their security privileges. The structure, content, and organization of the packages are maintained by CIS. Modifications and new content can be added as needed. (source: [Link](https://example.com/)) Available to faculty, staff, and emeritus at HMC. If new data is needed, or changes to existing fields, please contact the Help Desk at helpdesk@hmc.edu to create a support request.",https://www.hmc.edu/cis/services/cognos-maintenance-and-publishing-of-metadata/
Computer Labs,"The Sprague computer lab, located on the 1st floor of the Norman F. Sprague Center, contains 7 M1 24-inch iMacs and 5 Dell Optiplex PCs available for use on a first-come, first-serve basis. Systems in both labs are equipped with several academic software packages and applications used in courses. To request an application to be installed on the Mac and/or Windows platforms, please contact the CIS Help Desk. Available to faculty, students, staff, and emeritus at HMC. The Sprague lab is open 24/7 and are accessible after-hours via ID card swipe. All desktops can be authenticated with your HMC credentials.
To report a problem with computer lab software or hardware, please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.",https://www.hmc.edu/cis/services/computer-labs/
Computer Upgrade Program,"The CIS computer upgrade program at Harvey Mudd College is a source of new computer equipment. Its goals include standardizing equipment, providing adequate computing equipment to staff and faculty, refreshing equipment regularly, guiding departmental purchases, and potentially reducing costs. More details about the program can be found here: [Computer Upgrade Program](https://sites.google.com/g.hmc.edu/cis-cup/home). Available to faculty and staff at HMC. CIS is currently developing a database through which employees may look up their eligibility status. In the meantime, consult the CIS Help Desk to learn more about system eligibility.",https://www.hmc.edu/cis/services/equipment-replacement-program/
Course Mailing Lists,"CIS provides several different methods for emailing the instructors and students in a particular course. One option is using Google Groups. Another option is through the HMC portal, which allows faculty members to email all of the students in their class. Sakai also has an Email Archive tool that can create a mailing list. Available to faculty and emeritus at HMC. You can see all of the course mailing lists that you are a member of by going to Google Groups and clicking the My Groups link. Google Groups has a web interface to your course mailing lists which makes it easy to add and remove members and view archived messages. Any email client may be used to send mail to a Google Group.  If you are a faculty member teaching a course, then you are the owner of the course list and can make changes to the default settings. The default settings for a course mailing list are:
Only members of the group can see the list of members.
The web archive of messages sent to the group is turned off.
Prospective members must ask the owner of the list to be able to join.
We also have a list of all automatically generated course mailing lists on Google Groups (HMC login is required).
The HMC portal allows you to view all of your students (with photos) and email the class. The portal functions more as a one way faculty to student broadcast system, in that the students cannot mail to the class list via the portal.
The Sakai Email Archive tool allows you to email students and keeps a convenient searchable and sortable archive of the messages on the Sakai site. You can set up an address of your choice for the list, and configure the tool to allow email from any address or keep it closed. You do not have to be in Sakai to send messages, but can use the email client of your choice. Although the Email Archive tool is not part of the default set up for a course site, it is very easy to add, and can easily be configured to suit your needs. Anyone you have included in the site (eg. as an auditor) will be included in the recipient list. Even if you don’t use Sakai for anything else, it is worth considering the Email Archive tool for communicating with your class.",https://www.hmc.edu/cis/services/course-mailing-lists/
Course and Personal Websites,"The Office of Communications and Marketing manages the core HMC website, which is used to promote the college. They use WordPress and work with department content editors to manage the website. If you want to place information on the main College website, consult with your department content editor.

CIS supports several other website hosting options:
- Sakai: for course or project sites that are fully supported and offer many tools.
- Google Workspace Sites: for creating easy-to-use websites for clubs, personal interests, or internal material.
- pages.hmc.edu: for providing static HTML sites.
- Dreamhost: a recommended option for developing active sites with languages like PHP, Python, or Ruby on Rails, or for personal WordPress blogs.

CIS can provide limited support for using Dreamhost. Available to faculty, students and staff at HMC. For questions or to request any of the services listed, including services provided by communications and marketing, please email helpdesk@hmc.edu.",https://www.hmc.edu/cis/services/websites/
CX (Student Information System): Account Management,"CX software accounts can be created and managed [by assigning privileges, capabilities, and granting access](https://www.example.com/creating-managing-accounts) to CX and its various features. Available to faculty, staff, and emeritus at HMC. Supervisors can contact the Help Desk at helpdesk@hmc.edu for CX account creation and changes. CIS can come install the software necessary to access CX for PCs, or a web interface can be used from either Mac or PC.",https://www.hmc.edu/cis/services/cx-student-information-system-account-management/
CX (Student Information System): Data Import and Export,"Bulk updates can be imported and exported to/from CX. Examples: Communication between databases (Enrollment Manager, OnBase, PowerFaids) and from spreadsheets (Room Draw, Insurance Waivers). Available to faculty, staff, and emeritus at HMC. Please contact the Help Desk at helpdesk@hmc.edu.",https://www.hmc.edu/cis/services/cx-student-information-system-data-import-and-export/
CX (Student Information System): Usage Support,"CX usage support includes installation and support of CX access software, such as [QuickMate/Putty](https://www1.quick-mate.com/) or [CX Web Interface 8.1](https://www.cms.gov/files/zip/cx810/index.html). CIS can also assist you in resolving problems with CX, and in modifications to CX menus and screens. Available to faculty, staff, and emeritus at HMC. Please contact the Help Desk at helpdesk@hmc.edu.",https://www.hmc.edu/cis/services/cx-student-information-system-usage-support/
Data Management Plan (DMP) Support,"A data management plan (DMP) is a document outlining how a researcher plans to manage data during and after a research project, including organization, maintenance, and sharing. Funding agencies now often require researchers to submit a formal DMP when applying for grants. The DMPTool is recommended for creating a DMP, and the Claremont Colleges Library provides resources on research data management. The library is also an institutional member of Dryad, a data repository that allows researchers to deposit datasets from any discipline at no cost. Dryad is one of many data repositories that can be used to share research data. Available to faculty, students, staff, and emeritus at HMC. Please feel free to contact The Claremont Colleges Library at library@claremont.edu for any help on using DMPTool or Dryad through an one-on-one session.",https://www.hmc.edu/cis/services/data-management-plan-dmp-support/
Digital Signage,"CIS supports the digital signs on the HMC campus using Chrome Sign Builder. A designated content manager is responsible for departmental digital signs after deployment. The signs can display various types of content such as today's menu items, news, and campus information. Available to faculty and staff at HMC. To inquire about a new sign, CIS recommends contacting Facilities and Maintenance to get the project started. Communicating with F&amp;M ensures a TV can be mounted where you want to place a digital sign.
For assistance about current digital signs you may support, please contact the Help Desk at helpdesk@hmc.edu",https://www.hmc.edu/cis/services/digital-signage/
Dorm WiFi and Ethernet Ports,"In accordance with the Dorm Network Resource Policy, students staying in the dorms have access to the HMC Network through wired (ethernet) ports and via wireless. The policy states that there is one wired port available per student in a dorm, but additional ports can be requested if needed. For better WiFi coverage or additional network ports, students can contact the CIS Help Desk for assistance. They can make changes to configurations, add temporary network equipment, or help set up personal network devices such as switches, routers, or access points. More information on recommended personal network devices can be found here: Recommended Personal Switches, Routers, and Access Points. Available to students at HMC. Wired: Connect an ethernet cable (cat5 or higher) into the port in your room. You will need to locate the ethernet ports in your room. They can sometimes be hidden behind furniture. Not all ports are active, but always start by trying the top left port first. If you have issues locating a working port please contact the CIS Help Desk.
Wireless: You will have access to the same wireless networks as you do already around campus. Please use Claremont-WPA for all your devices. For devices that do not support WPA2-Enterprise please use Claremont-ETC (reduced access but ideal for older devices and game consoles).
If you have any issues or questions please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.",https://www.hmc.edu/cis/services/dorm-wifi-and-ethernet-ports/
Eduroam Wireless Roaming,"Eduroam (education wireless roaming) is a service that allows users from participating institutions to securely access the Internet from any Eduroam-enabled institution. Users can use their home institution credentials to access wireless networks at other institutions. The user's authentication is done by their home institution, while the authorization decision is made by the visited network. Available to faculty, students, staff, alumni, payers, emeritus, trustees, and applicants who have HMC credentials and visitors from other institutions who have Eduroam configured at their home institution. Access the appropriate wireless settings pane on the device to be connected and select the Eduroam network. When prompted, enter the appropriate &lt;userid&gt;@hmc.edu and password.
Please contact the Help Desk at helpdesk@hmc.edu or909.607.7777 to request assistance with connecting to wireless networks.",https://www.hmc.edu/cis/services/eduroam-wireless-roaming/
Email,"CIS provides faculty, students, and staff at Harvey Mudd College with email accounts. Faculty and students use Google Workplace accounts for email, while staff use Microsoft 365 accounts. Alumni keep their G Suite accounts after graduation. Spam filtering is done with Cisco IronPort. There are multiple email addresses that can reach a user, depending on the service used. The HMC Email Flow diagram explains how mail is routed to different addresses. Available to faculty, students, staff, alumni, and emeritus at HMC. For G Suite users, please log into your HMC Gmail Account with your HMC Credentials.
For Microsoft 365 Users, please visit the Microsoft 365 login to access the Outlook Web App (OWA) or configure Outlook for Microsoft 365 on your system.
Please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777 to request support for these services.",https://www.hmc.edu/cis/services/e-mail/
File Sharing,"File sharing allows users to collaborate, access and exchange files. CIS recommends the following options that are also self-service:

- [Google Drive](https://www.google.com/drive/) – A cloud storage solution from Google. Unlimited storage with your g.hmc.edu account. All current staff, faculty, emeriti, and alumni maintain access to their G Suite.

- [Sakai](https://www.sakailms.org/) – a course management and collaborative learning tool. This system serves faculty, staff and students of all seven Claremont Colleges and The Claremont Colleges Services. Available to faculty, students, staff, alumni, and emeritus at HMC and all of The Claremont Colleges. Please email helpdesk@hmc.edu to request file sharing support with Google Apps or Sakai.",https://www.hmc.edu/cis/services/file-sharing/
&#8220;Footprints&#8221; Help Desk Ticket Tracking System,"""Footprints"" is a ticket tracking system used by CIS to track help requests. Emailing helpdesk@hmc.edu will create a new ticket. After creation, an automated reply is sent via email from ""HMC CIS Support"" to notify the customer that a ticket has been created, and similarly for all updates to the ticket. Customers can send updates to tickets by replying to the generated emails. Notification is sent when a ticket has been closed with the opportunity for feedback through a survey. Available to faculty, students and staff at HMC. Tickets can be created by CIS.
Tickets are generated when an email is sent to helpdesk@hmc.edu.
Submitting a Help Desk Request Form, Laptop Reservation Request, or AV Request Form also generates a ticket.
Requests for after hours support must be made at least 1 week in advance",https://www.hmc.edu/cis/services/footprints-helpdesk-ticket-tracking-system/
Formstack,"CIS offers Formstack, an online form builder for creating various types of online forms. However, they no longer create new accounts in Formstack. Available to faculty, staff, and emeritus at HMC. Visit the Formstack website. Formstack uses its own standalone credentials. Please send an email to helpdesk@hmc.edu to request Formstack support.",https://www.hmc.edu/cis/services/formstack/
Google Apps &#8211; Adding new features,"Google’s G Suite includes access to additional apps that can be turned on to obtain additional functionality. Some are free and some involve payment. Some can be turned on by individual users and some have to be turned on at an administrator level. The Google Apps Marketplace provides access to apps that add extra functionality to existing Google Apps such as Docs, Drive, or Gmail. These can allow you to sort a Google Sheet by cell color, or add mathematics equations and graphs to a Google Doc, for example. There are also some apps that must be activated by an administrator for the whole campus. Some examples of apps that CIS has activated using this method are Google Plus and Kissflow. CIS’s process for apps that require administrator activation is as follows: 1. We receive an activation request. 2. We test the app in production (usually testing involves at least CIS, but may include others) 3. We tell people we are going to turn on a new app. 4. We turn the app on. 5. We wait for concerns to be raised, if any. Available to Faculty, Students, Staff, Alumni, and Emeriti at HMC. Please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.",https://www.hmc.edu/cis/services/google-apps-adding-new-features/
Google Workplace,"CIS provides Google Workplace accounts to faculty, staff, students, and alumni of HMC. [Google Workplace](https://workspace.google.com/) includes Gmail, Google Calendar, Google Drive, Google Sites and more! Available to Faculty, Students, Staff, Alumni, and Emeriti at HMC. HMC G Suite accounts can be accessed by visiting HMC Google Workplace. Enter your HMC Credentials username and password at the identity provider login screen. An HMC Credentials username followed by @g.hmc.edu should be used when logging in to an HMC G Suite account within an application.
Please send an email to helpdesk@hmc.edu to request G Suite support.",https://www.hmc.edu/cis/services/gsuite/
Google Groups Mailing Lists,"HMC uses Google Groups for both automated and non-automated mailing lists. They have been creating new ad hoc lists in Google Groups for several years and have started creating automated lists such as Course, Major, Dorm, and Class year lists. They also have a list of all automatically generated course mailing lists on Google Groups. Google Groups allows users to create online and email-based groups for engaging in discussions, organizing events, and finding people with similar interests. Users can access group posts through email or the online interface. For more information, there are helpful videos on finding and joining Google Groups and emailing class and departmental lists using Google Groups. Available to faculty, students, staff, alumni, and emeritus at HMC. Visit our Google Groups home page.
Please send an email to helpdesk@hmc.edu to request support regarding creating or modifying a mailing list.",https://www.hmc.edu/cis/services/google-groups-mailing-lists/
Gradescope,"Gradescope is an online grading platform that offers faster, more consistent, and fairer grading. Faculty and students at HMC can sign up for free accounts, thanks to the institutional license. Faculty also have access to premium features such as flexible rubrics, autograding of programming assignments, grouping similar answers, and integration with Sakai. [Gradescope](https://www.gradescope.com/) HMC Faculty and Students can access this service. Detailed instructions for faculty for adding Gradescope to your Sakai site, creating a Gradescope course site, and creating assignments are available in the documentation below. Instructions for students are also available below.",https://www.hmc.edu/cis/services/gradescope/
Hard Drive Encryption,"Hard drive encryption uses cryptographic algorithms to secure data on a hard drive. Data on an encrypted hard drive cannot be read by anyone who does not have access to the system, appropriate key, or password. Encryption is best used on machines that can easily be lost or stolen. At HMC, CIS recommends encrypting your entire operating system volume through BitLocker for Windows computers, or FileVault for Apple computers. You will be given a unique recovery key during the encryption setup process. This key is needed to decrypt your hard drive if BitLocker or FileVault locks your system. BitLocker may activate on your system if there is an unexpected power outage, if you are replacing hardware components in your computer, or if you unplug your computer and move it to a different location. In those scenarios, you will need the recovery key to decrypt your data. Please save your key somewhere safe (i.e., not on your computer). CIS recommends Google Drive, which is encrypted on Google’s servers, or any encrypted password manager, such as LastPass at HMC. Available to faculty, students, and staff at HMC. Configuration of these applications can vary from system to system, but at its simplest:
Bitlocker requirements:
Windows 10 or 11 (Pro, Enterprise, and Education editions) 
Trusted Platform Module (TPM) – special microchip in most newer Windows computers
FileVault requirements:
Mac OS X 10.7 (Lion) or higher
The CIS Help Desk can assist all users with turning on hard drive encryption.
You can find Instructions on how to do this yourself on Microsoft’s and Apple’s websites:
Turn on device encryption
Use FileVault to encrypt your Mac
Encrypt Mac data with FileVault",https://www.hmc.edu/cis/services/encryption/
High Performance Computing Support,"CIS helps faculty and students find on and off-campus resources for High Performance Computing (HPC) needs in their research and teaching. The [ACCESS](https://access-ci.org/) is an NSF-funded project that gives access to a network of supercomputers located at institutions across the United States. CIS Academic and Research Computing Services (ARCS) team provides the following services:
Selecting the appropriate HPC resource.
Getting allocations on the computing resources made available by ACCESS.
Setting up the computing environment and workflow.
[HPC Resources at Harvey Mudd College](https://www.hmc.edu/cis/hpc-at-hmc/) outlines other computing resources available at the college. For more information, please email the CIS Help Desk at [helpdesk@hmc.edu](mailto:helpdesk@hmc.edu). Available to faculty, students and staff at HMC. To access the service, please contact the CIS Help Desk (helpdesk@hmc.edu, x77777, 909.607.7777).",https://www.hmc.edu/cis/services/high-performance-computing-support/
HMC Credentials,"With the launch of its Identity and Access Management (IAM) initiative, the CIS at Harvey Mudd College introduced the concept of ""HMC Credentials"" - the combination of a user's HMC User ID and HMC Password. As the initiative progresses, more systems will start using HMC credentials. A list of services currently using HMC credentials can be found here. Going forward, CIS will no longer refer to local account credentials unless they differ from HMC credentials. Some services that use HMC credentials can be accessed via Single Sign-On (SSO), allowing users to log in once to access all other SSO services. CIS staff will never ask for the password associated with HMC credentials. Users can reset their HMC password here. Available to faculty, students, staff, alumni, payers, emeriti, trustees, and applicants at HMC. When you are granted HMC Credentials for the first time, you will receive an email at the non-HMC address that you provided. The email contains instructions about how to set up your HMC Credentials password and security questions.",https://www.hmc.edu/cis/services/hmc-credentials/
iClickers,"iClickers are a personal response system that can be used for a variety of purposes in the classroom. They use a wireless receiver to record student votes, and software on the instructor's laptop records and displays the votes. Students can receive points for participation and correctness of their responses. Grading information can be exported and uploaded into Sakai. Faculty can check out iClickers from CIS for the semester or a single class. CIS also provides training and software installation and configuration. ARCS can provide consultations on incorporating iClickers into syllabi. For more information, visit the iClickers website. Faculty, students and staff at HMC can check out sets of 50 iClickers from the CIS Help Desk, as well as the wireless base stations. For large lecture classes, students may be asked to rent or purchase their own iClickers from Huntley Bookstore, in which case faculty can just check out the wireless base stations they need. CIS will usually send an email to the faculty several weeks before classes start to inquire if they want to use the iClickers in a class. Faculty can also send email to the CIS Help Desk at helpdesk@hmc.edu if they are interested in trying out the iClickers in a class. It’s helpful if faculty can give us the following information when requesting the iClickers and/or wireless base stations:
Course name and number
When does class meet?
Where does class meet?
How many students are in the class?",https://www.hmc.edu/cis/services/iclickers/
Kuali Build,"Kuali Build is a code-free, cloud-based SaaS application development platform with business process management functionality. It allows users to create their own forms and workflows using powerful, automated, integrated business applications. Kuali can collect feedback and information, notify users, create approval pathways, and enable a responsive user experience. Available to faculty, students, staff, alumni, payers, emeriti, trustees, and applicants at HMC. When you are granted HMC Credentials for the first time, you will receive an email at the non-HMC address that you provided. The email contains instructions about how to set up your HMC Credentials password and security questions.",https://www.hmc.edu/cis/services/online-form-builders/kuali-build/
Lab Software in CIS Managed Labs and Carts,,https://www.hmc.edu/cis/services/lab-software/
Laptop Cart Reservation,"CIS manages three laptop carts with a total of 30 laptops. Each cart contains 10 laptops. The laptops are macOS based systems and are configured in the same manner as CIS Lab Systems. Here is a link to a list of all software loaded on the laptops. CIS tries their best to meet all requests and have been successful so far because faculty have been flexible with the quantity of laptops requested. In addition to the carts, there are three laptops dedicated to the Technology Rich Classrooms (SCTL 2450, 2454, 2460) for instructor use. Available to faculty and staff at HMC. To reserve a cart for your class, please use this Laptop Cart Reservation Request Form or email helpdesk@hmc.edu with your request. Please expect confirmation of your request within 2 school days.",https://www.hmc.edu/cis/services/laptop-cart-reservation/
LastPass,"LastPass is a cloud-based password manager that allows users to store website credentials, notes, and other data in a secure and convenient manner. You can use LastPass to generate and store a complex password for your HMC credentials, or any other logins you use for Mudd or non-Mudd related services. [LastPass](http://www.lastpass.com/) [HMC credentials](https://www.hmc.edu/cis/services/hmc-credentials/) LastPass Business is an opt-in service available to all HMC available to faculty and staff for work-related university usernames and passwords.
LastPass Premium is an opt-in service available to all HMC students, alumni, as well as any faculty or staff wanting a personal account.
Please refer to our HMC LastPass FAQ to understand the differences between LastPass Business, Premium, and Free. LastPass Business (for faculty and staff)
Data stored in LastPass can be accessed via the LastPass website, a browser plugin, or the various LastPass for Mobile applications. Duo two-factor authentication is required upon sign in.
You will receive an email from do-not-reply-support@lastpass.com that contains your activation code. If you are a new employee, please periodically check your inbox for the activation email once your @hmc email is created. If you need your LastPass invite resent to you, please use our HMC LastPass self-service portal. Please contact helpdesk@hmc.edu if you are unable to activate your account.
You can optionally link a personal LastPass account (a Free or Premium account using a non-HMC email) to keep personal passwords separate from your work passwords. You can upgrade your personal account to Premium using the information below.
LastPass Premium (for students, alumni, and any faculty or staff wanting a personal Premium account)
As with our Business users, data stored in LastPass can be accessed via the LastPass website, a browser plugin, or the various LastPass for Mobile applications.
You can upgrade your personal LastPass account to Premium by visiting our Harvey Mudd LastPass Premium page. In the field asking for the university email address, please enter your HMC email address in the format username@hmc.edu. Any personal email address (e.g., Gmail, Yahoo) can be used to sign up. If you have any trouble accessing your HMC email, please contact helpdesk@hmc.edu.
We do not manage Premium accounts. If you forget your Master Password or have any other account issues, please refer to LastPass support.",https://www.hmc.edu/cis/services/lastpass/
